;;;;;;;x
EVTDESC95613_NEWS_SHORT;Tensions are rising as several $FROMCOUNTRY_ADJ$ soldiers crossed the $COUNTRY_ADJ$ border, wounding and killing several soldiers. Voices in $CAPITAL$ are calling to take action.;;;;;;;x,
EVTDESC152009873_NEWS_LONG;$COUNTRY_ADJ$ army forces in $CAPITAL$ have made their way toward the government buildings -- not to protect the $COUNTRY_ADJ$ government as is their duty, but instead to oust the leaders and install themselves as $COUNTRY$'s new rulers. They claim that $COUNTRY$ is in a state of 'upheaval', and only the army can restore order. It is not yet known whether they will be successful in their attempted overthrow.;;;;;;;x
EVTDESC152009873_NEWS_MEDIUM;$COUNTRY_ADJ$ army forces in $CAPITAL$ have made their way toward the government buildings -- not to protect the $COUNTRY_ADJ$ government as is their duty, but instead to oust the leaders and install themselves as $COUNTRY$'s new rulers.;;;;;;;x,
EVTDESC152009873_NEWS_SHORT;$COUNTRY_ADJ$ army forces in $CAPITAL$ have made their way toward the government buildings to oust the leaders and install themselves as $COUNTRY$'s new rulers.;;;;;;;x,,
EVTDESC98607_NEWS_LONG;As the times of change unfold many states peacefully seek to free themselves from the remaining bonds � and often chains � of their former sovereign. The $FROMCOUNTRY_ADJ$ government has finally approved the $COUNTRY_ADJ$ appeal for full and independent rights to maintain diplomatic relations and to conclude treaties with other states. This point also marks the beginning of a rather unforeseeable future for $FROMCOUNTRY$ as the country must now take its path without the former partner � or vassal, as the now-free people of $COUNTRY$ once called themselves.;;;;;;;x,
EVTDESC98607_NEWS_MEDIUM;The $FROMCOUNTRY_ADJ$ government has finally approved the $COUNTRY_ADJ$ appeal for full and independent rights to maintain diplomatic relations and to conclude treaties with other states. $FROMCOUNTRY$ must now take its path without the former partner � or vassal.;;;;;;;x,,
EVTDESC98607_NEWS_SHORT;$FROMCOUNTRY$ has approved the $COUNTRY_ADJ$ appeal for full rights to maintain diplomatic relations and to conclude treaties with other states. The former vassal state is now free.;;;;;;;x,,
EVTDESC98608_NEWS_LONG;As the times of change unfold many states want to free themselves from the remaining chains of their former sovereign � even in force if necessary. The $FROMCOUNTRY_ADJ$ government - by the threat of a war of independence - has finally given in to $COUNTRY_ADJ$ demands for full and independent rights to maintain diplomatic relations and to conclude treaties with other states. $FROMCOUNTRY$ must now take its path without the former vassal while all men and women in $COUNTRY$ celebrate their final independence.;;;;;;;x,,
EVTDESC98608_NEWS_MEDIUM;On the verge of a war for independence the $FROMCOUNTRY_ADJ$ government has finally given in to $COUNTRY_ADJ$ demands for full rights to maintain diplomatic relations and to conclude treaties with other states. $FROMCOUNTRY$ must now take its path without the former vassal.;;;;;;;x,,
EVTDESC98608_NEWS_SHORT;$FROMCOUNTRY$ has given in to $COUNTRY_ADJ$ demands for full rights to maintain diplomatic relations and to conclude treaties with other states. The former vassal state is now free.;;;;;;;x,,
EVTNAME98613_NEWS_TITLE;$COUNTRY_ADJ$ Allies;;;;;;;x,,
EVTDESC98613_NEWS_LONG;As the times of change unfold many states want to free themselves from the remaining chains of their former sovereign � in force if necessary. More than often they have to face their former sovereign alone, yet recent reports indicate that $FROMCOUNTRY$ has agreed to enter an alliance with $COUNTRY$ in order to end the ongoing $COUNTRY_ADJ$ vassalization. It remains to be seen whether they will truly help once a war of independence begins. Diplomatic relations between the vassal state and its sovereign have deteriorated nonetheless.;;;;;;;x,
EVTDESC98613_NEWS_MEDIUM;Reports indicate that $FROMCOUNTRY$ has entered an alliance with $COUNTRY$ in order to end the ongoing $COUNTRY_ADJ$ vassalization. As their help in a war of independence remains to be seen, diplomatic relations between the vassal state and its sovereign have deteriorated nonetheless.;;;;;;;x,
EVTDESC98613_NEWS_SHORT;Reports are that $FROMCOUNTRY$ has allied with $COUNTRY$ to end the ongoing $COUNTRY_ADJ$ vassalization. Diplomatic relations between the vassal state and its sovereign have deteriorated.;;;;;;;x,,
EVTDESC90076_NEWS_LONG;Egypt has been effectively independent of the Ottoman Empire for some time. Now that independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance once and for all or admit their power is little more than an illusion. There are those who feel that a peaceful solution is possible, and that the Egyptians might better serve as powerful allies than as implacable enemies, but that would require the Ottomans to surrender their claim to the Levant as well as be an affront to Ottoman pride.;;;;;;;x,
EVTDESC90076_NEWS_MEDIUM;Egypt has been effectively independent of the Ottoman Empire for some time. Now that independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance or admit their power is little more than an illusion.;;;;;;;x,
EVTDESC90076_NEWS_SHORT;Egyptian independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance or admit their power is an illusion.;;;;;;;x,
EVTDESC90080_NEWS_LONG;The Turks have proven unable to retake the Levant from Egypt since the first outbreak of war many years ago, despite all the assistance they received from the rest of Europe. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians, and that the 'Sick Man of Europe' has no claim over it.;;;;;;;x
EVTDESC90080_NEWS_MEDIUM;The Turks have proven unable to retake the Levant from Egypt, despite all the assistance they received from the rest of Europe. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians, and that the 'Sick Man of Europe' has no claim over it.;;;;;;;x
EVTDESC90080_NEWS_SHORT;The Turks have proven unable to retake the Levant, despite all the assistance they received. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians.;;;;;;;x,
EVTDESC90088_NEWS_LONG;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them. They have offered to abide by the original Convention of London and return both Crete and the majority of the Levant to Ottoman control�while leaving them nominally independent and Muhammad Ali as Egypt`s ruler. Should the Empire refuse this offer, it`s likely the rest of Europe will turn against it.;;;;;;;x
EVTDESC90088_NEWS_MEDIUM;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them. They have offered to abide by the original Convention of London and return both Crete and the majority of the Levant to Ottoman control.;;;;;;;x,
EVTDESC90088_NEWS_SHORT;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them.;;;;;;;x,
EVTDESC97110_NEWS_LONG;The people of India are diverse, consisting of numerous cultures and languages throughout the sub-continent. Seldom has there been any serious credence given to the idea of a single union crossing all cultural boundaries, save by force of arms. This has recently changed, with Indian nationalists in $COUNTRY$ calling for a true union -- one powerful enough to resist all imperialist efforts to conquer it. Surprisingly, their calls have received a great deal of attention.;;;;;;;x,
EVTDESC97110_NEWS_MEDIUM;Seldom has there been any serious credence given to the idea of a single Indian union crossing all cultural boundaries, save by force of arms. This has recently changed, with Indian nationalists in $COUNTRY$ calling for a true union-- their calls have received a great deal of attention.;;;;;;;x
EVTDESC97110_NEWS_SHORT;Seldom has there been any serious credence given to the idea of a single Indian union. This has recently changed, with nationalists in $COUNTRY$ calling for Indian cultures to unite.;;;;;;;x,
EVTDESC19370_NEWS_LONG;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government. Already the $COUNTRY_ADJ$ people are up in arms over this imposition by a foreign power, though some are clearly questioning whether there is anything to be done. $COUNTRY$ did not submit willingly, after all, and if a rebellion breaks them free of $FROMCOUNTRY_ADJ$ control would $FROMCOUNTRY$ not simply invade once again?;;;;;;;x
EVTDESC19370_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government. Already the $COUNTRY_ADJ$ people are up in arms over this imposition by a foreign power.;;;;;;;x,
EVTDESC19370_NEWS_SHORT;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government.;;;;;;;x,
EVTDESC19200_NEWS_LONG;'His Majesty the King thereupon refused to receive the Ambassador again and had the latter informed by the Adjutant of the day that His Majesty had no further communication to make to the Ambassador.' This reads the dispatch to the French government, resulting in a diplomatic incident between France and $FROMCOUNTRY$ -- a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems, Hesse-Nassau, Prussia. Rumors claim that the dispatch might have been purposely engineered by German officials to provoke a war.;;;;;;;x,
EVTDESC19200_NEWS_MEDIUM;A diplomatic conflict has erupted between France and Germany following a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems. Rumors claim this might have been purposely engineered to provoke a war.;;;;;;;x
EVTDESC19200_NEWS_SHORT;A diplomatic conflict has erupted between France and Germany following a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems.;;;;;;;x
EVTDESC19300_NEWS_LONG;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue, 151 ft. tall, depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The design has been carried out by one Frederic Auguste Bartholdi, and a place has been set aside for the statue on an island in a great harbour. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;x
EVTDESC19300_NEWS_MEDIUM;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;x,
EVTDESC19300_NEWS_SHORT;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, known as 'the Statue of Liberty'.;;;;;;;x,
EVTDESC95500_NEWS_LONG;The colonial powers of Europe gathered in $CAPITAL$ to discuss the regulation of colonization and trade in Africa�in the interest of avoiding undue conflict, even if some have privately expressed doubt that Europe's powers will avoid fighting regardless of what was decided there. The outcome has become known as the 'General Act of the $CAPITAL$ Conference', formalizing the scramble for the African continent. After this point, any civilized European nation will largely be seen as justified in aggression towards uncivilized African nations.;;;;;;;x,
EVTDESC95500_NEWS_MEDIUM;The colonial powers of Europe gathered in $CAPITAL$ to discuss the regulation of colonization and trade in Africa. The outcome has become known as the 'General Act of the $CAPITAL$ Conference', formalizing the scramble for the African continent.;;;;;;;x,
EVTDESC95500_NEWS_SHORT;The colonial powers of Europe gathered in $CAPITAL$ to discuss the regulation of colonization and trade in Africa, formalizing the scramble for the African continent.;;;;;;;x,
EVTNAME95507_NEWS_TITLE;$COUNTRY_ADJ$ Nationals Expelled;;;;;;;x,,
EVTDESC95507_NEWS_LONG;For years, $COUNTRY$ has enjoyed a great deal of influence in the African nation of $FROMCOUNTRY$. Indeed, most of the world considers $FROMCOUNTRY$ to be a $COUNTRY_ADJ$ protectorate in all but name. The $FROMCOUNTRY_ADJ$ people disagree. Recently, their government summarily expelled the $COUNTRY_ADJ$ trade consul, and other $COUNTRY_ADJ$ nationals have followed�each being threatened with execution if they remained. $COUNTRY$'s influence has been eliminated, and now the $COUNTRY_ADJ$ government must react if it is to maintain its investment.;;;;;;;x,
EVTDESC95507_NEWS_MEDIUM;Recently, the $FROMCOUNTRY_ADJ$ government summarily expelled the $COUNTRY_ADJ$ trade consul, and other $COUNTRY_ADJ$ nationals have followed�each being threatened with execution if they remained. $COUNTRY$'s influence there has been eliminated.;;;;;;;x
EVTDESC95507_NEWS_SHORT;Recently, the $FROMCOUNTRY_ADJ$ government expelled the $COUNTRY_ADJ$ trade consul, and other $COUNTRY_ADJ$ nationals have followed�each being threatened with execution if they remained.;;;;;;;x
EVTDESC800065_NEWS_LONG;Recent news has surfaced of a tense confrontation at the $FROMCOUNTRY_ADJ$ embassy in $CAPITAL$, based on accusations that the $FROMCOUNTRY_ADJ$ is spreading ideological propaganda in a $COUNTRY_ADJ$ border province. 'Clearly there is no respect for $COUNTRY_ADJ$ sovereignty!' blustered one official. 'They are funding these criminals and rebels, urging them to overthrow our government!' There is no word of a reaction from the $FROMCOUNTRY_ADJ$ government as of yet, but it is clear that many are urging for some kind of action. 'Should $COUNTRY$ do nothing? I think not!';;;;;;;x,
EVTDESC800065_NEWS_MEDIUM;Recent news has surfaced of a tense confrontation at the $FROMCOUNTRY_ADJ$ embassy in $CAPITAL$, based on accusations that the $FROMCOUNTRY_ADJ$ is spreading ideological propaganda in a $COUNTRY_ADJ$ border province. 'Clearly there is no respect for $COUNTRY_ADJ$ sovereignty!' blustered one official.;;;;;;;x,
EVTDESC800065_NEWS_SHORT;Recent news has surfaced of a tense confrontation at the $FROMCOUNTRY_ADJ$ embassy in $CAPITAL$, based on accusations that the $FROMCOUNTRY_ADJ$ is spreading ideological propaganda in a $COUNTRY_ADJ$ border province.;;;;;;;x,
EVTNAME60000_NEWS_TITLE;Communists Seize Power in $COUNTRY$!;;;;;;;x,,
EVTDESC60000_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced today that the communist party would be suspending voting rights and restricting reforms 'to combat the current crisis'. While government ministers reassured many that the measures would be temporary, it appears obvious to outsiders that this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat. Many see this as having always been the goal of the ruling $COUNTRY_ADJ$ communist party: a peaceful overthrow of the current system and the installation of true communist principles.;;;;;;;x
EVTDESC60000_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis'. While giving reassurances that the measures are temporary, this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat.;;;;;;;x
EVTDESC60000_NEWS_SHORT;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis', transforming $COUNTRY$ into a communist dictatorship.;;;;;;;x
EVTNAME60010_NEWS_TITLE;Military Coup in $COUNTRY$!;;;;;;;x,,
EVTDESC60010_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as a coup d'etat, an overthrow of the democratic government and installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military�and they would be correct. For all intents and purposes, $COUNTRY_ADJ$ democracy is now a thing of the past.;;;;;;;x,
EVTDESC60010_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military�and they would be correct.;;;;;;;x,
EVTDESC60010_NEWS_SHORT;The $COUNTRY_ADJ$ leadership announced the suspension of freedoms 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as sole ruler and dictator�and they would be correct.;;;;;;;x,,
EVTNAME60020_NEWS_TITLE;Anarcho-Liberals Seize Power in $COUNTRY$!;;;;;;;x,,
EVTDESC60020_NEWS_LONG;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship. It's only temporary, they say, a way to combat the current crisis� though many have doubts this is true, or that $COUNTRY$ will ever be restored to true democratic rule unless the radicals are someday overthrown.;;;;;;;x,
EVTDESC60020_NEWS_MEDIUM;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship.;;;;;;;x
EVTDESC60020_NEWS_SHORT;A committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a government dictatorship. A temporary measure, they say, to combat the current crisis.;;;;;;;x
EVTNAME60030_NEWS_TITLE;Fascists Seize Power in $COUNTRY$!;;;;;;;x,,
EVTDESC60030_NEWS_LONG;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the fascist ruling party has transformed $COUNTRY$ from a democracy into a fascist dictatorship. Already the $COUNTRY_ADJ$ government has been reported clamping down on protests, black-shirted enforcers visible on every block in every major city. All this, according to the ruling party, will see $COUNTRY$ achieve the destiny it so richly deserves.;;;;;;;x,
EVTDESC60030_NEWS_MEDIUM;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the ruling party has transformed $COUNTRY$ into a fascist dictatorship.;;;;;;;x
EVTDESC60030_NEWS_SHORT;The signs are clear: with the recent expansion of the fascist party's executive powers, $COUNTRY$ has been transformed from a democracy into a fascist dictatorship.;;;;;;;x,
EVTDESC60050_NEWS_LONG;The $COUNTRY_ADJ$ dictatorship is not what it used to be. Increased pluralism, combined with extended political reforms, has led to the dictatorship more and more taking on the trappings of a democracy. While this doesn't necessarily mean that the ruling party has given up its reign on power, with the recent calling of elections this does mean that the opposition now has some chance of making its voice heard. $COUNTRY$ has become a democracy, and crowds have gathered in $CAPITAL$ to celebrate the idea that their rulers might soon be peacefully removed from power.;;;;;;;x
EVTDESC60050_NEWS_MEDIUM;The $COUNTRY_ADJ$ dictatorship is not what it used to be. While the ruling party has not yet given up power, increased pluralism, combined with extended political reforms and the recent call for new elections, has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;x,
EVTDESC60050_NEWS_SHORT;While the $COUNTRY_ADJ$ ruling party has not yet given up power, the recent reforms and call for new elections  has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;x,
EVTNAME60060_NEWS_TITLE;The $COUNTRY_ADJ$ Constitution;;;;;;;x,,
EVTDESC60060_NEWS_LONG;The political reforms enacted in the past few years have led to a situation where the absolutism of the $COUNTRY_ADJ$ monarchy can now legitimately be called into question. No longer is the $COUNTRY_ADJ$ king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power. Some question the right of the monarch to override decisions by the newly-elected government, or even refuse to accept the results of an election entirely, but the fact that elections are being permitted at all is considered a sure sign of $COUNTRY$'s democratization.;;;;;;;x,
EVTDESC60060_NEWS_MEDIUM;The reforms enacted in the past few years have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. No longer is the king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power.;;;;;;;x,
EVTDESC60060_NEWS_SHORT;Political reforms have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. The king has accepted several constitutional restrictions on his exercise of power.;;;;;;;x,,
EVTNAME60070_NEWS_TITLE;Democracy in $COUNTRY$;;;;;;;x,,
EVTDESC60070_NEWS_LONG;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people. The $COUNTRY_ADJ$ monarch, now serving as a symbolic head-of-state, no longer has the power to personally control and determine the fate of the nation, but is instead forced to accept the mitigating influences of pluralism and limited democracy.;;;;;;;x,
EVTDESC60070_NEWS_MEDIUM;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people.;;;;;;;x,,
EVTDESC60070_NEWS_SHORT;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a fully-democratic government responsible to the people.;;;;;;;x,,
EVTNAME60080_NEWS_TITLE;$COUNTRY_ADJ$ Voting Rights Rescinded;;;;;;;x,,
EVTDESC60080_NEWS_LONG;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. Where before the free exchange of opinion and ideas could be heard, from street corners and bus stops to bars and universities, now only the sounds of silence gives echo. The conclusion that is becoming ever more evident, is that the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x,
EVTDESC60080_NEWS_MEDIUM;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. The tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x,,
EVTDESC60080_NEWS_SHORT;According to recent reports, the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x,
EVTNAME60160_NEWS_TITLE;$COUNTRY_ADJ$ Independence!;;;;;;;x,,
EVTDESC60160_NEWS_LONG;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ independence from their former rulers. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. It is a heartfelt theme that speaks of better tomorrows, and while many privately wonder whether their independence can last in these uncertain times-- perhaps war might come to $COUNTRY$ to put an end to thoughts of freedom-- that is not on anyone's mind today.;;;;;;;x
EVTDESC60160_NEWS_MEDIUM;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ independence. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. While many privately wonder whether their independence can last, that is not on anyone's mind today.;;;;;;;x
EVTDESC60160_NEWS_SHORT;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ long-awaited independence. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ national anthem.;;;;;;;x,
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;;;;x
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;x
